Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,06岿 25老,1,,No,N/A,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,None did,Some of them,Yes,I would want to make sure expectations were set clearly at the start,Yes,I would want to set expectations of my ability from the start,Maybe,Maybe,Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United Kingdom,,United Kingdom,
0,100-500,1,,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,,Maybe,,"No, it has not","No, they do not",Very open,No,,Yes,Maybe,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,Virginia,United States of America,California
0,06岿 25老,1,,No,N/A,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,I don't know,None did,None of them,Maybe,,Maybe,It might be important to know how they react to such things.,Maybe,"No, I don't think they would",Very open,No,,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,37,male,United Kingdom,,United Kingdom,
0,100-500,1,,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,Depends if it's relevant,Maybe,depends if it's relevant,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United Kingdom,,United Kingdom,
0,01岿 05老,1,,Not eligible for coverage / N/A,N/A,Yes,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,,No,Usually not relevant,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Maybe,Yes,1,Never,Often,26,Other/Transfeminine,Netherlands,,Netherlands,
0,500-1000,1,,No,No,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,I have RSI and don't want them to think I'm not worth investing in.,No,It's none of their business until it affects my work,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,Yes,No,No,No,1,Rarely,Sometimes,23,M,Netherlands,,Netherlands,
0,26-100,1,,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,I had brain surgery in 1997. Bringing that up is pretty much a no job. On top of that hell they want to look at your DNA first these days. Sad days.,Maybe,That is a slippery slope. In my opinion your chances of getting the job are much less if you bring up mental health issues.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,40,Male,United States of America,Ohio,United States of America,Ohio
0,01岿 05老,1,,No,No,No,No,No,Somewhat easy,No,No,Maybe,Yes,No,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,They're usually temporary and you know when it'll be gone,Maybe,"I don't have one, so it's hard to relate",Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,29,M,Denmark,,Denmark,
0,100-500,1,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,"Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Concern it could overshadow legit issues,Maybe,Concern it could overshadow other issues,"No, I don't think it would","No, they do not",Somewhat open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,Male,United States of America,Oregon,United States of America,California
0,100-500,1,,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"Depending on how strong my position as interviewee is, I might prefer to wait until the offer stage rather than bring it up at interview",No,"I would likely prefer to wait until the offer stage to discuss mental health issue / accommodations, rather than in the interview",Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,34,female,United States of America,California,United States of America,California
0,More than 1000,1,,Yes,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,I don't really know. It would depend on my impressions at the time.,Maybe,same,"No, I don't think it would",Maybe,Very open,No,,No,Yes,Yes,Yes,1,Rarely,Often,40,male,United States of America,Iowa,United States of America,Iowa
0,500-1000,1,,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,,No,Wouldn't want marks against me,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,1,Never,Sometimes,39,Male,United States of America,California,United States of America,California
0,500-1000,1,,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,28,Male,United States of America,Washington,United States of America,Washington
1,,,,,,,,,,,,,,,,0,"Yes, I know several",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,26-50%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,To avoid not being hired,Maybe,It depends on how open the potential employer is about mental health,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,28,male,Belgium,,Belgium,
0,26-100,1,,No,No,No,No,I don't know,Neither easy nor difficult,No,No,No,No,I don't know,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,,No,,Maybe,"No, I don't think they would",Somewhat not open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Germany,,Germany,
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,No,,No,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,48,Male,United Kingdom,,United Kingdom,
0,More than 1000,1,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,If it would make me seem less suitable for a job,Maybe,If it would make me seem less suitable for the job,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,49,Female,United States of America,Connecticut,United States of America,Connecticut
0,26-100,1,,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,I'd want to be honest and up-front with a potential employer.,No,I'd worry that the reaction would not be one of understanding and that it would count against me during the selection process.,"Yes, I think it would",Maybe,Very open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United Kingdom,,United Kingdom,
0,100-500,1,,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did","No, I only became aware later",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,,No,,Maybe,"No, they do not",Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,35,Male,Sweden,,Sweden,
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",Yes,"Sometimes, if it comes up",I'm not sure,Yes,26-50%,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,"I would feel OK discussing physical health, mainly because it can be diagnosed and corroborated by a doctor.",Maybe,"It hard. There is still a stigma around mental health problems and people faking it, certainly around my home town.",Maybe,"No, I don't think they would",Not open at all,No,,Yes,Yes,Yes,Yes,1,Often,Often,38,Male,United Kingdom,,United Kingdom,
0,500-1000,1,,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,,No,,Maybe,Maybe,Neutral,Maybe/Not sure,No,Yes,Yes,No,Yes,1,Rarely,Often,32,Male,United States of America,California,United States of America,California
0,More than 1000,1,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,It depends on the nature of the issue and how it may impact my ability to work.,No,I would not because I am very concerned that it would negatively affect my chances for employment.,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,42,Male,United States of America,Ohio,United States of America,Ohio
0,100-500,1,,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,"I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.",No,"I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,33,female,United States of America,Texas,United States of America,Texas
0,26-100,1,,I don't know,N/A,No,I don't know,Yes,Very easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Yes,"It's best to be up front about stuff if possible - if the employer is aware, then it is easier to judge their attitude towards it (positive or negative) before accepting a position.",Yes,Same as physical health reason really. Coupled with the fact that nowadays I feel it's even more important to highlight mental health issues rather than sweeping under the carpet.,"No, I don't think it would","No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United Kingdom,,United Kingdom,
0,500-1000,1,,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,24,M,Russia,,Russia,
0,500-1000,1,,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,Yes,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Wouldn't want to risk not getting the job - i'd wait until I was hired,Yes,Because I am open about being a mental health advocate - it's one of the reasons I am good at my job.,Maybe,"No, they do not",Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,29,Female or Multi-Gender Femme,United States of America,California,United States of America,California
0,100-500,1,,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,,No,Stigma.,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,No,Yes,Maybe,No,1,Sometimes,Sometimes,29,Male,United States of America,Minnesota,United States of America,Minnesota
0,06岿 25老,1,,Not eligible for coverage / N/A,N/A,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,if it wasn't relevant,Maybe,if it wasn't relevant,"No, I don't think it would","No, I don't think they would",Somewhat not open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,United Kingdom,,United Kingdom,
0,500-1000,1,,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,,No,,"Yes, I think it would","Yes, I think they would",Very open,No,,Yes,Maybe,No,No,1,Sometimes,Often,30,Male,Sweden,,Sweden,
0,26-100,1,,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Wouldn't want that to be counted against me when compared to other candidates.,No,"Again, wouldn't want it to be held against me compared to other candidates.","No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Sometimes,Often,30,male,United States of America,Colorado,United States of America,Colorado
